user,combination,result,score
player_1,Two pairs,1,6
player_4,Three of a kind,1,0
player_6,Two pairs,1,6
player_5,Two pairs,1,6
player_4,Straight,1,0
player_1,Two pairs,1,7
player_1,Three of a kind,1,0
player_7,Two pairs,1,7
player_6,Two pairs,1,7
player_1,Three of a kind,1,6
player_6,Two pairs,1,5
player_8,Three of a kind,1,0
player_9,Two pairs,1,7
player_7,Three of a kind,1,0
player_2,Three of a kind,1,0
player_4,Two pairs,1,6
player_10,Two pairs,1,7
player_7,Two pairs,1,7
player_3,Two pairs,1,7
player_5,Flush,1,0
player_8,Two pairs,1,5
player_10,Two pairs,1,7
player_4,Two pairs,1,6
player_5,Flush,1,0
player_9,Three of a kind,1,0
player_5,Two pairs,1,6
player_4,Two pairs,1,3
player_7,Three of a kind,1,0
player_4,Two pairs,1,5
player_2,Two pairs,1,4
player_6,Three of a kind,1,0
player_10,Three of a kind,1,0
player_2,Two pairs,1,6
player_1,Two pairs,1,6
player_8,Two pairs,1,5
player_6,Three of a kind,1,0
player_5,Three of a kind,1,0
player_3,Two pairs,1,6
player_8,Straight,1,0
player_5,Two pairs,1,6
player_2,Two pairs,1,7
player_5,Two pairs,1,7
player_4,Three of a kind,1,0
player_2,Two pairs,1,5
player_1,Two pairs,1,7
player_3,Two pairs,1,6
player_3,Two pairs,1,6
player_6,Two pairs,1,7
player_2,Three of a kind,1,0
player_5,Three of a kind,1,0
player_10,Two pairs,1,7
player_4,Two pairs,1,6
player_8,Three of a kind,1,0
player_8,Two pairs,1,4
player_4,Straight,1,0
player_6,Two pairs,1,6
player_4,Two pairs,1,7
player_5,Two pairs,1,6
player_10,Two pairs,1,0
player_6,Two pairs,1,7
player_9,Two pairs,1,7
player_8,Three of a kind,1,0
player_3,Two pairs,1,7
player_5,Three of a kind,1,0
player_4,Three of a kind,1,0
player_6,Straight,1,0
player_2,Two pairs,1,7
player_8,Straight,1,0
player_10,Two pairs,1,5
player_5,Two pairs,1,7
player_5,Three of a kind,1,0
player_4,Two pairs,1,7
player_10,Two pairs,1,6
player_6,Two pairs,1,7
player_5,Two pairs,1,2
player_6,Two pairs,1,7
player_7,Two pairs,1,5
player_5,Two pairs,1,6
player_9,Three of a kind,1,0
player_3,Two pairs,1,4
player_9,Two pairs,1,7
player_2,Two pairs,1,5
player_1,Two pairs,1,6
player_4,Two pairs,1,6
player_4,Three of a kind,1,4
player_1,Two pairs,1,6
player_8,Two pairs,1,6
player_4,Two pairs,1,6
player_10,Three of a kind,1,4
player_4,Two pairs,1,5
player_4,Flush,1,0
player_6,Two pairs,1,7
player_9,Two pairs,1,0
player_3,Three of a kind,1,0
player_6,Two pairs,1,6
player_5,Two pairs,1,7
player_5,Two pairs,1,6
player_4,Two pairs,1,6
player_1,Three of a kind,1,0
player_2,Two pairs,1,7
player_2,Two pairs,1,7
player_8,Two pairs,1,4
player_4,Three of a kind,1,0
player_8,Flush,1,0
player_3,Two pairs,1,5
player_1,Two pairs,1,6
player_10,Full house,1,0
player_10,Two pairs,1,6
player_6,Three of a kind,1,0
player_3,Three of a kind,1,0
player_1,Two pairs,1,6
player_10,Two pairs,1,6
player_4,Two pairs,1,3
player_3,Two pairs,1,5
player_1,Three of a kind,1,5
player_6,Straight,1,0
player_7,Three of a kind,1,0
player_8,Two pairs,1,6
player_2,Two pairs,1,6
player_8,Two pairs,1,4
player_8,Two pairs,1,7
player_6,Two pairs,1,6
player_5,Two pairs,1,7
player_5,Two pairs,1,4
player_4,Two pairs,1,7
player_6,Two pairs,1,6
player_9,Two pairs,1,6
player_8,Three of a kind,1,0
player_1,Two pairs,1,5
player_1,Two pairs,1,3
player_4,Two pairs,1,6
player_1,Two pairs,1,6
player_10,Two pairs,1,7
player_10,Two pairs,1,6
player_9,Straight,1,0
player_7,Two pairs,1,6
player_3,Two pairs,1,7
player_10,Two pairs,1,6
player_2,Two pairs,1,6
player_4,Two pairs,1,4
player_3,Three of a kind,1,0
player_8,Two pairs,1,5
player_3,Two pairs,1,5
player_3,Two pairs,1,7
player_2,Three of a kind,1,0
player_7,Two pairs,1,5
player_4,Three of a kind,1,0
player_5,Two pairs,1,7
player_2,Two pairs,1,5
player_5,Two pairs,1,7
player_8,Two pairs,1,6
player_9,Two pairs,1,6
player_3,Two pairs,1,6
player_5,Straight,1,0
player_5,Two pairs,1,7
player_7,Two pairs,1,6
player_8,Two pairs,1,6
player_3,Two pairs,1,6
player_5,Two pairs,1,6
player_1,Two pairs,1,6
player_2,Two pairs,1,3
player_9,Two pairs,1,6
player_2,Two pairs,1,6
player_6,Flush,1,0
player_7,Two pairs,1,4
player_7,Two pairs,1,5
player_5,Two pairs,1,3
player_9,Two pairs,1,5
player_2,Two pairs,1,7
player_10,Three of a kind,1,0
player_3,Three of a kind,1,0
player_8,Two pairs,1,5
player_1,Two pairs,1,4
player_7,Two pairs,1,6
player_1,Two pairs,1,6
player_3,Three of a kind,1,0
player_8,Two pairs,1,6
player_6,Two pairs,1,4
player_3,Three of a kind,1,0
player_5,Two pairs,1,5
player_1,Two pairs,1,6
player_1,Two pairs,1,6
player_3,Two pairs,1,4
player_7,Flush,1,0
player_4,Two pairs,1,7
player_2,Two pairs,1,7
player_7,Two pairs,1,7
player_3,Three of a kind,1,0
player_3,Two pairs,1,7
player_6,Three of a kind,1,0
player_2,Three of a kind,1,0
player_7,Two pairs,1,7
player_5,Three of a kind,1,0
player_7,Three of a kind,1,3
player_9,Two pairs,1,6
player_1,Two pairs,1,5
player_1,Two pairs,1,6
player_6,Two pairs,1,6
player_8,Two pairs,1,6
player_9,Two pairs,1,6
player_1,Three of a kind,1,0
player_1,Two pairs,1,5
player_8,Three of a kind,1,0
player_8,Two pairs,1,5
player_3,Two pairs,1,6
player_8,Two pairs,1,7
player_6,Two pairs,1,6
player_1,Two pairs,1,6
player_2,Two pairs,1,7
player_8,Two pairs,1,5
player_4,Two pairs,1,7
player_9,Two pairs,1,6
player_10,Two pairs,1,6
player_4,Two pairs,1,6
player_2,Two pairs,1,6
player_1,Two pairs,1,6
player_3,Three of a kind,1,0
player_5,Two pairs,1,6
player_5,Two pairs,1,7
player_10,Two pairs,1,6
player_2,Two pairs,1,0
player_5,Two pairs,1,7
player_5,Two pairs,1,7
player_1,Two pairs,1,6
player_6,Two pairs,1,7
player_7,Two pairs,1,6
player_1,Two pairs,1,7
player_9,Two pairs,1,7
player_8,Two pairs,1,7
player_3,Two pairs,1,5
player_2,Two pairs,1,6
player_7,Three of a kind,1,0
player_6,Two pairs,1,4
player_6,Two pairs,1,6
player_10,Two pairs,1,5
player_7,Three of a kind,1,0
player_1,Two pairs,1,6
player_9,Two pairs,1,6
player_5,Two pairs,1,6
player_1,Two pairs,1,4
player_8,Two pairs,1,4
player_9,Three of a kind,1,4
player_8,Two pairs,1,6
player_9,Two pairs,1,6
player_1,Two pairs,1,6
player_6,Two pairs,1,6
player_3,Two pairs,1,6
player_2,Two pairs,1,7
player_4,Two pairs,1,5
player_1,Two pairs,1,7
player_8,Two pairs,1,6
player_5,Two pairs,1,7
player_1,Three of a kind,1,0
player_5,Two pairs,1,2
player_10,Two pairs,1,7
player_4,Two pairs,1,5
player_10,Three of a kind,1,0
player_8,Two pairs,1,7
player_6,Two pairs,1,6
player_5,Three of a kind,1,0
player_1,Flush,1,0
player_3,Straight,1,0
player_10,Full house,1,0
player_5,Two pairs,1,4
player_4,Two pairs,1,3
player_7,Two pairs,1,7
player_6,Two pairs,1,7
player_8,Three of a kind,1,0
player_8,Two pairs,1,6
player_2,Straight,1,0
player_6,Two pairs,1,5
player_10,Two pairs,1,4
player_5,Two pairs,1,5
player_5,Straight,1,0
player_2,Two pairs,1,6
player_4,Two pairs,1,7
player_10,Two pairs,1,4
player_4,Two pairs,1,7
player_4,Straight,1,0
player_3,Two pairs,1,6
player_6,Three of a kind,1,0
player_4,Two pairs,1,6
player_9,Straight,1,0
player_6,Two pairs,1,5
player_1,Two pairs,1,6
player_1,Straight,1,0
player_4,Two pairs,1,6
player_2,Three of a kind,1,0
player_4,Two pairs,1,6
player_2,Two pairs,1,7
player_2,Three of a kind,1,2
player_9,Two pairs,1,6
player_2,Three of a kind,1,0
player_9,Three of a kind,1,0
player_6,Two pairs,1,6
player_5,Two pairs,1,6
player_6,Two pairs,1,6
player_4,Two pairs,1,6
player_3,Two pairs,1,5
player_4,Two pairs,1,7
player_2,Three of a kind,1,0
player_10,Two pairs,1,4
player_9,Two pairs,1,6
player_2,Two pairs,1,7
player_9,Two pairs,1,7
player_3,Two pairs,1,6
player_1,Two pairs,1,7
player_3,Two pairs,1,0
player_2,Two pairs,1,6
player_3,Three of a kind,1,0
player_2,Flush,1,0
player_2,Two pairs,1,6
player_4,Two pairs,1,4
player_5,Three of a kind,1,0
player_3,Two pairs,1,7
player_6,Two pairs,1,7
player_9,Four of a kind,1,0
player_2,Two pairs,1,3
player_9,Two pairs,1,6
player_7,Two pairs,1,7
player_6,Two pairs,1,6
player_7,Two pairs,1,5
player_10,Full house,1,0
player_5,Three of a kind,1,0
player_4,Two pairs,1,7
player_9,Two pairs,1,7
player_3,Two pairs,1,6
player_9,Two pairs,1,7
player_1,Two pairs,1,6
player_7,Two pairs,1,7
player_5,Two pairs,1,6
player_3,Two pairs,1,4
player_5,Three of a kind,1,0
player_3,Two pairs,1,7
player_4,Two pairs,1,6
player_3,Two pairs,1,5
player_2,Three of a kind,1,0
player_6,Three of a kind,1,4
player_10,Two pairs,1,5
player_10,Two pairs,1,6
player_10,Three of a kind,1,0
player_4,Two pairs,1,7
player_6,Two pairs,1,7
player_9,Straight,1,0
player_6,Two pairs,1,6
player_9,Three of a kind,1,5
player_5,Two pairs,1,6
player_8,Two pairs,1,6
player_5,Two pairs,1,7
player_6,Two pairs,1,7
player_1,Two pairs,1,7
player_7,Two pairs,1,6
player_7,Three of a kind,1,0
player_4,Three of a kind,1,0
player_9,Two pairs,1,5
player_1,Two pairs,1,7
player_2,Three of a kind,1,0
player_4,Two pairs,1,6
player_6,Two pairs,1,7
player_9,Three of a kind,1,0
player_6,Two pairs,1,4
player_1,Two pairs,1,6
player_2,Three of a kind,1,0
player_8,Two pairs,1,4
player_8,Three of a kind,1,0
player_1,Two pairs,1,7
player_1,Three of a kind,1,0
player_10,Straight,1,0
player_9,Three of a kind,1,0
player_4,Two pairs,1,7
player_7,Two pairs,1,6
player_4,Two pairs,1,7
player_7,Three of a kind,1,0
player_7,Two pairs,1,6
player_1,Two pairs,1,6
player_1,Two pairs,1,6
player_1,Two pairs,1,7
player_3,Two pairs,1,6
player_9,Two pairs,1,7
player_3,Two pairs,1,6
player_3,Two pairs,1,7
player_7,Three of a kind,1,0
player_4,Two pairs,1,7
player_10,Two pairs,1,6
player_4,Two pairs,1,6
player_9,Two pairs,1,6
player_5,Two pairs,1,4
player_2,Two pairs,1,7
player_10,Two pairs,1,7
player_9,Two pairs,1,6
player_4,Two pairs,1,7
player_5,Two pairs,1,5
player_10,Two pairs,1,6
player_4,Three of a kind,1,0
player_2,Two pairs,1,2
player_3,Two pairs,1,7
player_2,Two pairs,1,5
player_10,Two pairs,1,5
player_3,Two pairs,1,7
player_1,Two pairs,1,6
player_10,Three of a kind,1,0
player_4,Three of a kind,1,0
player_9,Two pairs,1,6
player_2,Full house,1,0
player_3,Two pairs,1,6
player_1,Straight,1,0
player_10,Two pairs,1,6
player_8,Two pairs,1,5
player_4,Two pairs,1,6
player_10,Two pairs,1,5
player_3,Two pairs,1,6
player_7,Two pairs,1,7
player_2,Three of a kind,1,0
player_4,Two pairs,1,6
player_10,Three of a kind,1,0
player_6,Two pairs,1,7
player_8,Straight,1,0
player_8,Two pairs,1,7
player_7,Three of a kind,1,0
player_3,Two pairs,1,6
player_7,Two pairs,1,7
player_5,Three of a kind,1,0
player_8,Two pairs,1,6
player_6,Two pairs,1,7
player_3,Three of a kind,1,0
player_1,Two pairs,1,6
player_6,Three of a kind,1,3
player_1,Two pairs,1,6
player_1,Two pairs,1,7
player_1,Two pairs,1,7
player_5,Two pairs,1,7
player_7,Three of a kind,1,0
player_4,Two pairs,1,6
player_2,Two pairs,1,6
player_3,Two pairs,1,7
player_5,Two pairs,1,5
player_9,Three of a kind,1,0
player_2,Straight,1,0
player_3,Two pairs,1,7
player_6,Two pairs,1,4
player_7,Two pairs,1,6
player_1,Two pairs,1,6
player_9,Two pairs,1,6
player_5,Two pairs,1,6
player_9,Three of a kind,1,0
player_2,Two pairs,1,6
player_8,Two pairs,1,7
player_5,Two pairs,1,6
player_5,Two pairs,1,6
player_4,Three of a kind,1,0
player_10,Two pairs,1,7
player_8,Two pairs,1,6
player_3,Two pairs,1,7
player_5,Straight,1,0
player_2,Two pairs,1,6
player_8,Two pairs,1,7
player_4,Two pairs,1,3
player_9,Two pairs,1,6
player_1,Two pairs,1,6
player_1,Two pairs,1,5
player_9,Two pairs,1,6
player_5,Two pairs,1,6
player_3,Two pairs,1,6
player_6,Two pairs,1,6
player_6,Two pairs,1,5
player_7,Two pairs,1,4
player_8,Two pairs,1,7
player_7,Full house,1,0
player_9,Two pairs,1,5
player_3,Two pairs,1,7
player_9,Two pairs,1,6
player_8,Two pairs,1,6
player_5,Two pairs,1,7
player_5,Two pairs,1,7
player_6,Three of a kind,1,0
player_9,Three of a kind,1,0
player_6,Two pairs,1,5
player_7,Two pairs,1,6
player_6,Two pairs,1,7
player_5,Full house,1,0
player_1,Two pairs,1,6
player_5,Three of a kind,1,0
player_8,Two pairs,1,6
player_2,Two pairs,1,4
player_7,Two pairs,1,6
player_7,Two pairs,1,6
player_2,Straight,1,0
player_10,Two pairs,1,7
player_9,Two pairs,1,0
player_2,Three of a kind,1,0
player_2,Straight,1,0
player_3,Two pairs,1,6
player_3,Two pairs,1,7
player_8,Three of a kind,1,0
player_2,Two pairs,1,7
player_9,Two pairs,1,7
player_2,Two pairs,1,7
player_1,Two pairs,1,7
player_2,Two pairs,1,6
player_4,Two pairs,1,5
player_3,Two pairs,1,6
player_7,Three of a kind,1,0
player_10,Two pairs,1,7
player_9,Two pairs,1,7
player_4,Two pairs,1,7
player_2,Two pairs,1,6
player_8,Three of a kind,1,0
player_7,Two pairs,1,6
player_5,Two pairs,1,6
player_10,Two pairs,1,6
player_1,Two pairs,1,6
player_7,Two pairs,1,6
player_2,Two pairs,1,6
player_1,Two pairs,1,6
player_8,Two pairs,1,4
player_9,Three of a kind,1,0
player_4,Two pairs,1,3
player_9,Three of a kind,1,0
player_7,Two pairs,1,5
player_9,Two pairs,1,5
player_2,Three of a kind,1,0
player_6,Three of a kind,1,0
player_6,Straight,1,0
player_9,Two pairs,1,6
player_2,Two pairs,1,7
player_1,Two pairs,1,6
player_3,Two pairs,1,6
player_6,Two pairs,1,6
player_9,Two pairs,1,7
player_1,Two pairs,1,4
player_7,Two pairs,1,5
player_7,Two pairs,1,7
player_9,Two pairs,1,6
player_4,Three of a kind,1,0
player_3,Two pairs,1,6
player_3,Two pairs,1,7
player_6,Two pairs,1,7
player_1,Two pairs,1,7
player_3,Three of a kind,1,6
player_1,Three of a kind,1,0
player_3,Two pairs,1,6
player_6,Two pairs,1,7
player_9,Two pairs,1,7
player_4,Two pairs,1,7
player_8,Three of a kind,1,5
player_7,Two pairs,1,4
player_1,Two pairs,1,7
player_2,Two pairs,1,7
player_6,Flush,1,0
player_9,Two pairs,1,2
player_2,Two pairs,1,7
player_2,Two pairs,1,7
player_3,Two pairs,1,7
player_2,Two pairs,1,7
player_5,Two pairs,1,0
player_4,Two pairs,1,6
player_9,Two pairs,1,6
player_7,Two pairs,1,6
player_1,Two pairs,1,0
player_3,Two pairs,1,5
player_6,Two pairs,1,7
player_7,Three of a kind,1,0
player_4,Two pairs,1,6
player_3,Three of a kind,1,0
player_7,Two pairs,1,5
player_4,Two pairs,1,5
player_2,Two pairs,1,7
player_6,Two pairs,1,7
player_6,Three of a kind,1,0
player_6,Two pairs,1,5
player_9,Two pairs,1,7
player_1,Three of a kind,1,0
player_5,Two pairs,1,6
player_1,Two pairs,1,6
player_6,Two pairs,1,6
player_9,Two pairs,1,6
player_10,Two pairs,1,6
player_9,Two pairs,1,0
player_10,Two pairs,1,6
player_10,Two pairs,1,7
player_6,Two pairs,1,7
player_10,Flush,1,0
player_3,Three of a kind,1,0
player_7,Three of a kind,1,0
player_9,Two pairs,1,6
player_2,Three of a kind,1,0
player_2,Two pairs,1,5
player_8,Two pairs,1,4
player_5,Two pairs,1,6
player_5,Two pairs,1,6
player_7,Two pairs,1,6
player_6,Three of a kind,1,0
player_3,Two pairs,1,6
player_7,Three of a kind,1,0
player_9,Two pairs,1,6
player_10,Two pairs,1,7
player_2,Two pairs,1,5
player_7,Two pairs,1,5
player_3,Two pairs,1,6
player_1,Two pairs,1,6
player_6,Two pairs,1,4
player_10,Straight,1,0
player_10,Two pairs,1,0
player_6,Two pairs,1,6
player_6,Three of a kind,1,0
player_8,Two pairs,1,6
player_1,Two pairs,1,7
player_6,Two pairs,1,5
player_3,Two pairs,1,5
player_6,Two pairs,1,7
player_5,Straight,1,0
player_2,Two pairs,1,7
player_6,Two pairs,1,5
player_7,Two pairs,1,6
player_9,Two pairs,1,7
player_8,Two pairs,1,7
player_5,Two pairs,1,7
player_1,Two pairs,1,7
player_5,Two pairs,1,4
player_9,Two pairs,1,7
player_1,Two pairs,1,5
player_8,Two pairs,1,5
player_8,Three of a kind,1,3
player_9,Two pairs,1,7
player_2,Two pairs,1,7
player_8,Two pairs,1,7
player_2,Two pairs,1,7
player_4,Three of a kind,1,0
player_2,Two pairs,1,6
player_10,Straight,1,0
player_6,Straight,1,0
player_5,Two pairs,1,7
player_9,Three of a kind,1,0
player_5,Three of a kind,1,0
player_5,Two pairs,1,6
player_8,Three of a kind,1,0
player_7,Three of a kind,1,0
player_1,Two pairs,1,6
player_5,Straight,1,0
player_8,Three of a kind,1,0
player_9,Two pairs,1,4
player_10,Straight,1,0
player_9,Two pairs,1,5
player_4,Two pairs,1,7
player_10,Two pairs,1,6
player_8,Three of a kind,1,5
player_5,Two pairs,1,5
player_4,Two pairs,1,6
player_4,Two pairs,1,5
player_1,Two pairs,1,7
player_5,Two pairs,1,6
player_6,Two pairs,1,7
player_6,Two pairs,1,7
player_8,Three of a kind,1,0
player_1,Two pairs,1,6
player_5,Two pairs,1,7
player_5,Two pairs,1,7
player_3,Full house,1,0
player_7,Two pairs,1,7
player_4,Two pairs,1,6
player_9,Three of a kind,1,0
player_9,Flush,1,0
player_1,Two pairs,1,6
player_10,Two pairs,1,6
player_2,Two pairs,1,7
player_6,Two pairs,1,7
player_2,Two pairs,1,7
player_1,Three of a kind,1,0
player_8,Two pairs,1,7
player_9,Two pairs,1,6
player_9,Two pairs,1,6
player_6,Two pairs,1,6
player_3,Two pairs,1,7
player_6,Two pairs,1,6
player_10,Two pairs,1,6
player_9,Straight,1,0
player_9,Two pairs,1,7
player_10,Two pairs,1,5
player_5,Two pairs,1,6
player_1,Two pairs,1,6
player_4,Two pairs,1,7
player_3,Two pairs,1,7
player_8,Three of a kind,1,0
player_4,Two pairs,1,7
player_5,Two pairs,1,6
player_6,Two pairs,1,6
player_9,Two pairs,1,5
player_10,Two pairs,1,6
player_9,Two pairs,1,3
player_2,Two pairs,1,6
player_8,Two pairs,1,7
player_9,Three of a kind,1,0
player_6,Two pairs,1,6
player_10,Two pairs,1,7
player_3,Three of a kind,1,0
player_10,Three of a kind,1,0
player_10,Two pairs,1,6
player_1,Two pairs,1,5
player_3,Flush,1,0
player_2,Two pairs,1,3
player_10,Straight,1,0
player_7,Two pairs,1,6
player_9,Two pairs,1,7
player_7,Two pairs,1,7
player_1,Two pairs,1,7
player_7,Two pairs,1,5
player_7,Two pairs,1,7
player_4,Two pairs,1,6
player_1,Two pairs,1,6
player_2,Three of a kind,1,0
player_3,Two pairs,1,7
player_10,Three of a kind,1,0
player_8,Two pairs,1,5
player_6,Two pairs,1,6
player_10,Two pairs,1,6
player_6,Two pairs,1,6
player_9,Two pairs,1,7
player_4,Two pairs,1,7
player_2,Two pairs,1,7
player_7,Two pairs,1,5
player_10,Two pairs,1,7
player_7,Three of a kind,1,0
player_2,Full house,1,0
player_6,Two pairs,1,6
player_10,Two pairs,1,5
player_7,Two pairs,1,6
player_1,Three of a kind,1,5
player_4,Three of a kind,1,0
player_10,Two pairs,1,4
player_4,Two pairs,1,4
player_2,Three of a kind,1,0
player_6,Two pairs,1,7
player_2,Two pairs,1,0
player_1,Two pairs,1,7
player_1,Two pairs,1,5
player_6,Two pairs,1,5
player_9,Two pairs,1,7
player_2,Three of a kind,1,0
player_3,Two pairs,1,7
player_3,Two pairs,1,6
player_1,Three of a kind,1,0
player_1,Two pairs,1,6
player_10,Two pairs,1,6
player_5,Two pairs,1,6
player_9,Straight,1,0
player_5,Two pairs,1,3
player_3,Two pairs,1,7
player_4,Straight,1,0
player_4,Two pairs,1,6
player_1,Two pairs,1,7
player_1,Two pairs,1,7
player_5,Two pairs,1,6
player_9,Two pairs,1,7
player_1,Two pairs,1,6
player_2,Three of a kind,1,0
player_7,Two pairs,1,5
player_2,Three of a kind,1,0
player_2,Two pairs,1,6
player_8,Two pairs,1,5
player_10,Three of a kind,1,0
player_4,Three of a kind,1,0
player_6,Three of a kind,1,0
player_7,Two pairs,1,7
player_1,Two pairs,1,7
player_10,Two pairs,1,6
player_7,Three of a kind,1,0
player_2,Two pairs,1,7
player_6,Two pairs,1,6
player_2,Two pairs,1,6
player_9,Three of a kind,1,0
player_10,Two pairs,1,4
player_9,Two pairs,1,7
player_1,Two pairs,1,7
player_4,Two pairs,1,5
player_3,Two pairs,1,6
player_2,Two pairs,1,6
player_4,Three of a kind,1,0
player_3,Two pairs,1,5
player_1,Two pairs,1,4
player_5,Three of a kind,1,0
player_1,Two pairs,1,6
player_1,Two pairs,1,6
player_2,Two pairs,1,7
player_2,Three of a kind,1,0
player_3,Full house,1,0
player_5,Two pairs,1,5
player_7,Two pairs,1,7
player_5,Three of a kind,1,0
player_4,Flush,1,0
player_5,Two pairs,1,7
player_7,Two pairs,1,7
player_10,Straight,1,0
player_1,Three of a kind,1,4
player_3,Two pairs,1,7
player_9,Two pairs,1,5
player_6,Three of a kind,1,0
player_4,Two pairs,1,7
